original,location,sample_period,duplicate,location,sample_period
PG2012029,Pangnirtung,16,PG2012029,Pangnirtung,16
PG2012031,Pangnirtung,16,PG2012031,Pangnirtung,16
PG2012032,Pangnirtung,16,PG2012032,Pangnirtung,16
PG2012033,Pangnirtung,16,PG2012033,Pangnirtung,16
PG2012034,Pangnirtung,16,PG2012034,Pangnirtung,16
PG2012035,Pangnirtung,16,PG2012035,Pangnirtung,16
PG2012036,Pangnirtung,16,PG2012036,Pangnirtung,16
PG2012037,Pangnirtung,16,PG2012037,Pangnirtung,16
PG2012038,Pangnirtung,16,PG2012038,Pangnirtung,16
PG2012039,Pangnirtung,16,PG2012039,Pangnirtung,16
PG2012040,Pangnirtung,16,PG2012040,Pangnirtung,16
PG2012041,Pangnirtung,16,PG2012041,Pangnirtung,16
PG2012043,Pangnirtung,16,PG2012043,Pangnirtung,16
PG2012044,Pangnirtung,16,PG2012044,Pangnirtung,16
PG2012045,Pangnirtung,16,PG2012045,Pangnirtung,16
PG2012047,Pangnirtung,16,PG2012047,Pangnirtung,16
PG2012048,Pangnirtung,16,PG2012109,Pangnirtung,16
PG2012048,Pangnirtung,16,PG2012048,Pangnirtung,16
PG2012049,Pangnirtung,16,PG2012049,Pangnirtung,16
PG2012050,Pangnirtung,16,PG2012050,Pangnirtung,16
PG2012051,Pangnirtung,16,PG2012051,Pangnirtung,16
PG2012052,Pangnirtung,16,PG2012052,Pangnirtung,16
PG2012053,Pangnirtung,16,PG2012053,Pangnirtung,16
PG2012054,Pangnirtung,16,PG2012056,Pangnirtung,16
PG2012054,Pangnirtung,16,PG2012054,Pangnirtung,16
PG2012055,Pangnirtung,16,PG2012055,Pangnirtung,16
PG2012057,Pangnirtung,16,PG2012057,Pangnirtung,16
PG2012059,Pangnirtung,16,PG2012059,Pangnirtung,16
PG2012060,Pangnirtung,16,PG2012060,Pangnirtung,16
PG2012061,Pangnirtung,16,PG2012061,Pangnirtung,16
PG2012062,Pangnirtung,16,PG2012062,Pangnirtung,16
PG2012063,Pangnirtung,16,PG2012063,Pangnirtung,16
PG2012064,Pangnirtung,16,PG2012064,Pangnirtung,16
PG2012064,Pangnirtung,16,PG2012065,Pangnirtung,16
PG2012066,Pangnirtung,16,PG2012066,Pangnirtung,16
