original,location,sample_period,duplicate,location.1,sample_period.1
PG2013015,Pangnirtung,17,PG2013015,Pangnirtung,17
PG2013016,Pangnirtung,17,PG2013016,Pangnirtung,17
PG2013017,Pangnirtung,17,PG2013017,Pangnirtung,17
PG2013018,Pangnirtung,17,PG2013018,Pangnirtung,17
PG2013019,Pangnirtung,17,PG2013019,Pangnirtung,17
PG2013020,Pangnirtung,17,PG2013020,Pangnirtung,17
PG2013021,Pangnirtung,17,PG2013021,Pangnirtung,17
PG2013022,Pangnirtung,17,PG2013022,Pangnirtung,17
PG2013025,Pangnirtung,17,PG2013025,Pangnirtung,17
PG2013026,Pangnirtung,17,PG2013026,Pangnirtung,17
PG2013027,Pangnirtung,17,PG2013027,Pangnirtung,17
PG2013028,Pangnirtung,17,PG2013028,Pangnirtung,17
PG2013029,Pangnirtung,17,PG2013029,Pangnirtung,17
PG2013030,Pangnirtung,17,PG2013030,Pangnirtung,17
PG2013031,Pangnirtung,17,PG2013031,Pangnirtung,17
PG2013032,Pangnirtung,17,PG2013032,Pangnirtung,17
PG2013033,Pangnirtung,17,PG2013033,Pangnirtung,17
PG2013034,Pangnirtung,17,PG2013034,Pangnirtung,17
PG2013035,Pangnirtung,17,PG2013035,Pangnirtung,17
PG2013036,Pangnirtung,17,PG2013036,Pangnirtung,17
PG2013037,Pangnirtung,17,PG2013037,Pangnirtung,17
PG2013038,Pangnirtung,17,PG2013038,Pangnirtung,17
PG2013039,Pangnirtung,17,PG2013040,Pangnirtung,17
PG2013039,Pangnirtung,17,PG2013039,Pangnirtung,17
PG2013042,Pangnirtung,17,PG2013042,Pangnirtung,17
PG2013043,Pangnirtung,17,PG2013043,Pangnirtung,17
PG2013044,Pangnirtung,17,PG2013044,Pangnirtung,17
PG2013045,Pangnirtung,17,PG2013045,Pangnirtung,17
PG2013046,Pangnirtung,17,PG2013046,Pangnirtung,17
PG2013047,Pangnirtung,17,PG2013047,Pangnirtung,17
PG2013048,Pangnirtung,17,PG2013048,Pangnirtung,17
PG2013049,Pangnirtung,17,PG2013049,Pangnirtung,17
PG2013050,Pangnirtung,17,PG2013050,Pangnirtung,17
PG2013051,Pangnirtung,17,PG2013051,Pangnirtung,17
