original,location,sample_period,duplicate,location.1,sample_period.1
IG2012001,Igloolik,16,IG2012017,Igloolik,16
IG2012001,Igloolik,16,IG2013160,Igloolik,17
IG2012003,Igloolik,16,IG2012003,Igloolik,16
IG2012004,Igloolik,16,IG2013102,Igloolik,17
IG2012004,Igloolik,16,IG2012004,Igloolik,16
IG2012005,Igloolik,16,IG2012005,Igloolik,16
IG2012006,Igloolik,16,IG2012006,Igloolik,16
IG2012007,Igloolik,16,IG2012007,Igloolik,16
IG2012008,Igloolik,16,IG2012049,Igloolik,16
IG2012008,Igloolik,16,IG2012059,Igloolik,16
IG2012008,Igloolik,16,IG2012008,Igloolik,16
IG2012009,Igloolik,16,IG2012009,Igloolik,16
IG2012010,Igloolik,16,IG2012010,Igloolik,16
IG2012011,Igloolik,16,IG2012011,Igloolik,16
IG2012012,Igloolik,16,IG2012012,Igloolik,16
IG2012013,Igloolik,16,IG2012013,Igloolik,16
IG2012015,Igloolik,16,IG2012015,Igloolik,16
IG2012016,Igloolik,16,IG2012016,Igloolik,16
IG2012018,Igloolik,16,IG2012018,Igloolik,16
IG2012019,Igloolik,16,IG2012019,Igloolik,16
IG2012020,Igloolik,16,IG2012020,Igloolik,16
IG2012021,Igloolik,16,IG2012021,Igloolik,16
IG2012022,Igloolik,16,IG2012022,Igloolik,16
IG2012023,Igloolik,16,IG2012023,Igloolik,16
IG2012024,Igloolik,16,IG2012024,Igloolik,16
IG2012025,Igloolik,16,IG2012025,Igloolik,16
IG2012026,Igloolik,16,IG2012026,Igloolik,16
IG2012027,Igloolik,16,IG2012027,Igloolik,16
IG2012028,Igloolik,16,IG2012028,Igloolik,16
IG2012029,Igloolik,16,IG2012029,Igloolik,16
IG2012030,Igloolik,16,IG2012030,Igloolik,16
IG2012031,Igloolik,16,IG2012031,Igloolik,16
IG2012032,Igloolik,16,IG2012032,Igloolik,16
IG2012033,Igloolik,16,IG2012033,Igloolik,16
IG2012034,Igloolik,16,IG2012034,Igloolik,16
IG2012036,Igloolik,16,IG2012036,Igloolik,16
IG2012037,Igloolik,16,IG2012088,Igloolik,16
IG2012037,Igloolik,16,IG2012037,Igloolik,16
IG2012037,Igloolik,16,IG2012093,Igloolik,16
IG2012038,Igloolik,16,IG2012038,Igloolik,16
IG2012040,Igloolik,16,IG2012040,Igloolik,16
IG2012040,Igloolik,16,IG2013122,Igloolik,17
IG2012041,Igloolik,16,IG2012041,Igloolik,16
