,omega,p,omega_nd,N,lp__
31,0.261251770807333,0.0101443697205147,0.245818056979811,2670,-1072.33921894793
32,0.527879210664972,0.00484219388438634,0.518192212115466,5353,-1074.10976990276
33,0.218299845061653,0.0129941391482171,0.200971085051687,2240,-1072.78097443401
34,0.306253189969693,0.00797132777944387,0.292821264496812,3200,-1073.41011946616
35,0.533618520724618,0.00502794443702215,0.523570581984234,5466,-1073.81859777527
36,0.332833449232513,0.00778801179227662,0.31909249137869,3378,-1072.609127764
37,0.338014749952725,0.00763785979401166,0.324429083902052,3441,-1072.66991745958
38,0.284474435641441,0.00937143723772205,0.269394077912265,2907,-1072.30704667765
39,0.292300915380089,0.010256223547657,0.275537028728813,2900,-1073.44647007797
40,0.510418751191155,0.00530717854917084,0.499777636248583,5251,-1073.62059458521
41,0.194438179650692,0.0135955767797837,0.177856717553311,2005,-1072.91673475233
42,0.168443534940794,0.0160938839382695,0.151036201736855,1716,-1073.50723253487
43,0.2859047234524,0.00912107630138193,0.271176597311765,2908,-1072.42661990884
44,0.292473023160896,0.0103422326162961,0.275564301206801,2988,-1073.65998492301
45,0.390639399525115,0.00660498545709931,0.378095322861089,4033,-1072.97038286324
46,0.546553513734853,0.00481284996556108,0.536972195498286,5523,-1074.00455698527
47,0.487659972155344,0.00524412687383713,0.477157526190947,4939,-1073.77757217017
48,0.304551872851463,0.00853327516270708,0.290228584290781,3106,-1072.48792750184
49,0.39296556896748,0.00638636019387462,0.380808437125865,4008,-1073.34145960104
50,0.201130672202391,0.0122996859777799,0.185691860904326,2122,-1073.53844122075
51,0.260206788745095,0.0105332198356592,0.244233682677913,2606,-1072.31651906134
52,0.370703062440749,0.00717129637117808,0.35737425987401,3815,-1072.64183542138
53,0.229787226780602,0.0129014375229791,0.211919109153925,2295,-1073.3440942203
54,0.215250732802094,0.0128970644315906,0.198227690329555,2179,-1072.64339143593
55,0.200541021565259,0.0139014179048738,0.18318620896984,2063,-1072.86670016007
56,0.395661339320305,0.00649220713936027,0.383272019608856,3973,-1073.04957102361
57,0.402524835230367,0.00649507867415644,0.390053811916219,4205,-1072.93419691682
58,0.480210714011424,0.00553207384273058,0.469144763554645,4916,-1073.41540155051
59,0.284677277652756,0.00940163922891768,0.269542193378109,2864,-1072.29674916047
60,0.347395403098202,0.00721392862365811,0.334382773452357,3519,-1073.09663495773
61,0.302620241396171,0.00931277764351102,0.287060673691416,3065,-1072.49290772924
62,0.280967274619652,0.00997476088790028,0.26505322890539,2851,-1072.41614975129
63,0.267244106550497,0.00966331821416644,0.252309500057391,2789,-1072.5096378937
64,0.258050191793341,0.0110009418042289,0.241472641529594,2627,-1072.5525002034
65,0.418516420347812,0.00683065630388868,0.405234970925005,4333,-1073.24926540029
66,0.210322669495498,0.0119664467799669,0.194772832514538,2109,-1073.14163609422
67,0.236855986233662,0.0120909728802264,0.219717781199503,2434,-1072.73885976142
68,0.252553237953998,0.0113991223222127,0.235635664998397,2678,-1072.73523065055
69,0.225768681829142,0.0125667789863121,0.208575893489667,2273,-1072.7130711142
70,0.574480799138286,0.00418965883175515,0.566250387223974,5889,-1075.59524168176
71,0.234614361530216,0.0140507722741016,0.214899710739811,2404,-1076.74894622781
72,0.388440434628416,0.0070950319987908,0.37499778046295,3975,-1072.75281689186
73,0.461368357605147,0.00570584162812238,0.450014373536067,4741,-1073.31397550591
74,0.677000876940779,0.00390912969984691,0.670111331903775,6975,-1075.11140260137
75,0.55062294296224,0.00495165863829983,0.540778296741811,5575,-1073.95908933063
76,0.363728951017426,0.00781535893122098,0.349330317261905,3688,-1072.83371750545
77,0.385849336047554,0.00734038614303067,0.371979752846663,4004,-1072.92746261685
78,0.200734668650106,0.0128162864817059,0.184688145740274,2076,-1073.00658002584
79,0.55695281554943,0.00480034165762733,0.547434185561454,5617,-1074.02146099155
