"","x"
"1131",13942
"1132",17583
"1133",11219
"1134",39548
"1135",24638
"1136",16591
"1137",9792
"1138",11320
"1139",17228
"1140",16768
"1141",22960
"1142",11086
"1143",18949
"1144",10694
"1145",13925
"1146",16238
"1147",25616
"1148",23071
"1149",28567
"1150",28986
"1151",22099
"1152",20410
"1153",19714
"1154",14635
"1155",13357
"1156",10325
"1157",18403
"1158",15340
"1159",11096
"1160",16905
"1161",20904
"1162",21179
"1163",9702
"1164",14153
"1165",18761
"1166",14181
"1167",17609
"1168",20826
"1169",15344
"1170",12029
"1171",11459
"1172",15129
"1173",17685
"1174",20509
"1175",23392
"1176",22828
"1177",16127
"1178",16658
"1179",29254
"1180",16012
"1181",19268
"1182",11934
"1183",8031
"1184",20078
"1185",19603
"1186",16159
"1187",11773
"1188",23067
"1189",11405
"1190",18659
"1191",23959
"1192",15719
"1193",11558
"1194",12762
"1195",17139
"1196",17197
"1197",17781
"1198",23853
"1199",24816
"1200",10744
"1201",12643
"1202",14407
"1203",19877
"1204",13596
"1205",13992
"1206",18108
"1207",15145
"1208",10723
"1209",23815
"1210",12864
"1211",11924
"1212",18152
"1213",16780
"1214",24087
"1215",15729
"1216",17536
"1217",12255
"1218",13845
"1219",13161
"1220",14546
"1221",10059
"1222",13706
"1223",8796
"1224",14243
"1225",15763
"1226",15156
"1227",11377
"1228",14613
"1229",10654
"1230",22546
"1231",22123
"1232",8446
"1233",21986
"1234",14930
"1235",27306
"1236",17416
"1237",18260
"1238",14671
"1239",13446
"1240",8762
"1241",10953
"1242",23762
"1243",10995
"1244",50690
"1245",17870
"1246",10229
"1247",8905
"1248",15748
"1249",33342
"1250",15317
"1251",22280
"1252",11851
"1253",20419
"1254",11740
"1255",13496
"1256",9338
"1257",22671
"1258",15971
"1259",22755
"1260",11581
"1261",17863
"1262",16058
"1263",14254
"1264",24089
"1265",8376
"1266",18538
"1267",17777
"1268",14719
"1269",14371
"1270",16183
"1271",12814
"1272",22755
"1273",17131
"1274",23595
"1275",26671
"1276",27287
"1277",11939
"1278",21757
"1279",15113
"1280",17404
"1281",37005
"1282",30429
"1283",18651
"1284",17983
"1285",12657
"1286",17083
"1287",35830
"1288",7788
"1289",23092
"1290",10241
"1291",14755
"1292",12733
"1293",12806
"1294",13833
"1295",17164
"1296",26417
"1297",16405
"1298",13668
"1299",29029
"1300",15900
"1301",16545
"1302",13481
"1303",13300
"1304",13151
"1305",34389
"1306",35673
"1307",18170
"1308",19380
"1309",15614
"1310",26592
"1311",20177
"1312",13470
"1313",14244
"1314",10063
"1315",10246
"1316",10725
"1317",15878
"1318",9532
"1319",14676
"1320",13802
"1321",10521
"1322",10760
"1323",11661
"1324",16006
"1325",11958
"1326",15336
"1327",14003
"1328",10795
"1329",47738
"1330",11813
"1331",18653
"1332",23567
"1333",14159
"1334",15296
"1335",24800
"1336",19301
"1337",11143
"1338",8556
"1339",16194
"1340",10244
"1341",12938
"1342",26643
"1343",12224
"1344",10112
"1345",13645
"1346",9655
"1347",8666
"1348",21222
"1349",37718
"1350",17320
"1351",20013
"1352",14598
"1353",14474
"1354",21866
"1355",36007
"1356",14055
"1357",13355
"1358",24206
"1359",23271
"1360",13957
"1361",27167
"1362",38183
"1363",16664
"1364",8897
"1365",21536
"1366",16150
"1367",21745
"1368",10957
"1369",11248
"1370",19978
"1371",24954
"1372",16357
"1373",12531
"1374",11833
"1375",24508
"1376",12820
"1377",8925
"1378",13841
"1379",18411
"1380",9745
"1381",16809
"1382",17719
"1383",10732
"1384",14694
"1385",18919
"1386",19321
"1387",17894
"1388",16200
"1389",14337
"1390",15821
"1391",19016
"1392",12737
"1393",10941
"1394",11197
"1395",13665
"1396",10203
"1397",30492
"1398",31712
"1399",13026
"1400",18087
"1401",11517
"1402",17772
"1403",23328
"1404",15870
"1405",21280
"1406",11552
"1407",21580
"1408",16890
"1409",13886
"1410",10233
"1411",13304
"1412",15682
"1413",15406
"1414",11256
"1415",14194
"1416",10856
"1417",25929
"1418",18532
"1419",14578
"1420",15058
"1421",13672
"1422",35577
"1423",12941
"1424",14245
"1425",15435
"1426",16562
"1427",15499
"1428",23940
"1429",12645
"1430",11164
"1431",17098
"1432",19975
"1433",25440
"1434",10768
"1435",16436
"1436",22273
"1437",8480
"1438",22771
"1439",15887
"1440",24279
"1441",9265
"1442",19814
"1443",14931
"1444",18766
"1445",9849
"1446",10625
"1447",20224
"1448",14701
"1449",29956
"1450",16873
"1451",22927
"1452",34883
"1453",16978
"1454",9349
"1455",13852
"1456",32600
"1457",17461
"1458",15147
"1459",19934
"1460",22333
"1461",14003
"1462",52644
"1463",19806
"1464",9782
"1465",10194
"1466",17717
"1467",8628
"1468",11009
"1469",14158
"1470",15111
"1471",28300
"1472",18140
"1473",12265
"1474",13036
"1475",12942
"1476",10576
"1477",9806
"1478",27222
"1479",35205
"1480",18951
"1481",13528
"1482",13052
"1483",20966
"1484",15412
"1485",34423
"1486",15765
"1487",26791
"1488",20270
"1489",13392
"1490",16324
"1491",17838
"1492",14436
"1493",14585
"1494",30033
"1495",21551
"1496",19080
"1497",22119
"1498",13649
"1499",15883
"1500",16617
"1501",13912
"1502",15328
"1503",17304
"1504",9527
"1505",10717
"1506",23940
"1507",26854
"1508",8940
"1509",19145
"1510",15757
"1511",15062
"1512",11122
"1513",14079
"1514",11392
"1515",16974
"1516",21762
"1517",15027
"1518",23069
"1519",15140
"1520",12701
"1521",12927
"1522",19144
"1523",23711
"1524",18095
"1525",17476
"1526",12260
"1527",17311
"1528",14343
"1529",15483
"1530",15455
"1531",18699
"1532",12914
"1533",18899
"1534",32014
"1535",20417
"1536",19790
"1537",11307
"1538",22840
"1539",22806
"1540",15268
"1541",29528
"1542",10038
"1543",13948
"1544",20065
"1545",14747
"1546",32799
"1547",16484
"1548",12153
"1549",17022
"1550",19706
"1551",13358
"1552",18553
"1553",19946
"1554",22121
"1555",36495
"1556",13057
"1557",11818
"1558",14207
"1559",18489
"1560",13032
"1561",31875
"1562",24108
"1563",14675
"1564",16424
"1565",29881
"1566",8653
"1567",18353
"1568",12082
"1569",12179
"1570",19808
"1571",25702
"1572",13350
"1573",14941
"1574",18283
"1575",12550
"1576",13888
"1577",15904
"1578",16678
"1579",14732
"1580",7141
"1581",10530
"1582",13674
"1583",29225
"1584",18852
"1585",16489
"1586",14911
"1587",19857
"1588",15903
"1589",11735
"1590",16257
"1591",10071
"1592",19025
"1593",20583
"1594",23592
"1595",19152
"1596",17852
"1597",13826
"1598",16202
"1599",10817
"1600",19482
"1601",15246
"1602",22828
"1603",14859
"1604",11269
"1605",26958
"1606",17808
"1607",29810
"1608",20443
"1609",11650
"1610",16982
"1611",12493
"1612",13050
"1613",11935
"1614",25340
