"","x"
"1058",16717
"1059",3478
"1060",5331
"1061",6364
"1062",15300
"1063",3062
"1064",6439
"1065",12792
"1066",13579
"1067",13808
"1068",6386
"1069",2828
"1070",7735
"1071",7188
"1072",9234
"1073",11085
"1074",1390
"1075",3766
"1076",6777
"1077",2675
"1078",4303
"1079",4106
"1080",7541
"1081",3601
"1082",13103
"1083",920
"1084",2896
"1085",9398
"1086",1626
"1087",573
"1088",9194
"1089",12005
"1090",11158
"1091",5882
"1092",13534
"1093",3285
"1094",10891
"1095",2137
"1096",2288
"1097",8668
"1098",2978
"1099",7386
"1100",3329
"1101",8216
"1102",12764
"1103",1164
"1104",10354
"1105",1628
"1106",8546
"1107",12832
"1108",1448
"1109",9304
"1110",16111
"1111",2760
"1112",9729
"1113",7286
"1114",5648
"1115",4415
"1116",8860
"1117",8516
"1118",8050
"1119",3303
"1120",11298
"1121",7083
"1122",4932
"1123",3986
"1124",5479
"1125",9906
"1126",7836
"1127",1337
"1128",22441
"1129",12797
"1130",8957
"1131",4180
"1132",10124
"1133",2791
"1134",27685
"1135",15943
"1136",9997
"1137",1626
"1138",1953
"1139",5077
"1140",8929
"1141",6744
"1142",627
"1143",11704
"1144",3219
"1145",4651
"1146",7107
"1147",19711
"1148",10591
"1149",17151
"1150",15454
"1151",7653
"1152",8400
"1153",11614
"1154",1686
"1155",4920
"1156",1806
"1157",10861
"1158",6307
"1159",2277
"1160",6392
"1161",10636
"1162",11326
"1163",1268
"1164",3864
"1165",9389
"1166",4579
"1167",4702
"1168",8076
"1169",4515
"1170",2162
"1171",1999
"1172",8394
"1173",10245
"1174",8062
"1175",15143
"1176",12720
"1177",9782
"1178",8749
"1179",19976
"1180",3186
"1181",10624
"1182",1510
"1183",2118
"1184",10692
"1185",9933
"1186",7911
"1187",3308
"1188",13815
"1189",1460
"1190",6506
"1191",12827
"1192",7541
"1193",3649
"1194",3036
"1195",4421
"1196",6953
"1197",7274
"1198",14699
"1199",15299
"1200",3192
"1201",5364
"1202",1915
"1203",10750
"1204",7738
"1205",4256
"1206",6630
"1207",5720
"1208",3133
"1209",15846
"1210",6186
"1211",4912
"1212",9302
"1213",3355
"1214",13753
"1215",7920
"1216",11795
"1217",3259
"1218",4830
"1219",1962
"1220",2703
"1221",2790
"1222",4046
"1223",2375
"1224",3730
"1225",6964
"1226",2037
"1227",534
"1228",3039
"1229",3787
"1230",12233
"1231",12112
"1232",2461
"1233",10016
"1234",3150
"1235",13006
"1236",9863
"1237",1852
"1238",6171
"1239",397
"1240",1069
"1241",2392
"1242",13390
"1243",3849
"1244",39740
"1245",10632
"1246",2407
"1247",4350
"1248",1882
"1249",22828
"1250",6045
"1251",13326
"1252",3947
"1253",8764
"1254",4373
"1255",1567
"1256",2147
"1257",8159
"1258",7800
"1259",14883
"1260",2360
"1261",4217
"1262",4406
"1263",2998
"1264",13860
"1265",919
"1266",7804
"1267",8642
"1268",4935
"1269",3746
"1270",5644
"1271",2442
"1272",12396
"1273",5672
"1274",13604
"1275",14733
"1276",19694
"1277",2305
"1278",8965
"1279",7208
"1280",11292
"1281",26058
"1282",15848
"1283",10783
"1284",9990
"1285",5153
"1286",9844
"1287",25127
"1288",2577
"1289",14720
"1290",1057
"1291",6136
"1292",2815
"1293",5465
"1294",5824
"1295",7526
"1296",15771
"1297",6150
"1298",6052
"1299",17084
"1300",5465
"1301",3644
"1302",4791
"1303",5209
"1304",5688
"1305",16329
"1306",27054
"1307",11179
"1308",7631
"1309",8342
"1310",15090
"1311",8954
"1312",7594
"1313",5676
"1314",1318
"1315",1111
"1316",2270
"1317",9323
"1318",1096
"1319",5354
"1320",3205
"1321",1911
"1322",2043
"1323",2355
"1324",6047
"1325",5636
"1326",7227
"1327",3252
"1328",617
"1329",39231
"1330",2457
"1331",5038
"1332",14959
"1333",3491
"1334",5903
"1335",16010
"1336",8927
"1337",3081
"1338",1664
"1339",3588
"1340",1893
"1341",3360
"1342",12955
"1343",1407
"1344",2533
"1345",3154
"1346",2997
"1347",1964
"1348",7905
"1349",30582
"1350",9928
"1351",6608
"1352",3674
"1353",7599
"1354",12274
"1355",28253
"1356",6344
"1357",4810
"1358",14740
"1359",14449
"1360",4216
"1361",15940
"1362",26229
"1363",6119
"1364",1257
"1365",11420
"1366",6235
"1367",12133
"1368",3919
"1369",1447
"1370",8135
"1371",9887
"1372",8180
"1373",4429
"1374",512
"1375",12426
"1376",5378
"1377",1940
"1378",5045
"1379",11425
"1380",1068
"1381",7327
"1382",12366
"1383",2710
"1384",4384
"1385",7152
"1386",10793
"1387",9764
"1388",8553
"1389",6407
"1390",5860
"1391",9033
"1392",4026
"1393",1543
"1394",1376
"1395",1070
"1396",371
"1397",20080
"1398",24151
"1399",5885
"1400",5550
"1401",4849
"1402",8228
"1403",7253
"1404",4976
"1405",12438
"1406",4061
"1407",13849
"1408",4278
"1409",6930
"1410",1580
"1411",5646
"1412",7511
"1413",4741
"1414",3564
"1415",7432
"1416",2464
"1417",17118
"1418",6174
"1419",7696
"1420",6513
"1421",6064
"1422",25655
"1423",4927
"1424",4713
"1425",6854
"1426",7548
"1427",4430
"1428",17188
"1429",2131
"1430",2837
"1431",9104
"1432",5871
"1433",15894
"1434",1628
"1435",4922
"1436",8358
"1437",2911
"1438",6527
"1439",9398
"1440",11041
"1441",779
"1442",7717
"1443",2073
"1444",7042
"1445",740
"1446",1703
"1447",9206
"1448",7639
"1449",16353
"1450",8632
"1451",12994
"1452",20147
"1453",8180
"1454",365
"1455",6573
"1456",25388
"1457",9270
"1458",4140
"1459",12327
"1460",9784
"1461",2618
"1462",44854
"1463",7783
"1464",1892
"1465",1610
"1466",7516
"1467",1468
"1468",4069
"1469",1201
"1470",4552
"1471",17268
"1472",6397
"1473",4760
"1474",5783
"1475",2578
"1476",1620
"1477",3796
"1478",13247
"1479",20258
"1480",8132
"1481",7676
"1482",6113
"1483",8847
"1484",2372
"1485",26226
"1486",3359
"1487",14290
"1488",11187
"1489",2055
"1490",5739
"1491",8571
"1492",3343
"1493",3147
"1494",15907
"1495",11950
"1496",11112
"1497",10808
"1498",4506
"1499",8372
"1500",8220
"1501",7480
"1502",2609
"1503",7016
"1504",1838
"1505",2812
"1506",5190
"1507",16490
"1508",1561
"1509",9966
"1510",3326
"1511",8154
"1512",4400
"1513",2114
"1514",4197
"1515",9304
"1516",13039
"1517",5574
"1518",12404
"1519",9298
"1520",1564
"1521",4304
"1522",4869
"1523",13403
"1524",8922
"1525",9666
"1526",3203
"1527",3972
"1528",7945
"1529",6501
"1530",3104
"1531",9251
"1532",6318
"1533",10157
"1534",20866
"1535",12906
"1536",9684
"1537",1879
"1538",15239
"1539",13951
"1540",7203
"1541",23147
"1542",2525
"1543",789
"1544",6785
"1545",5258
"1546",26210
"1547",7646
"1548",2472
"1549",8318
"1550",12699
"1551",4550
"1552",10069
"1553",9922
"1554",8546
"1555",26953
"1556",5718
"1557",3900
"1558",5826
"1559",7392
"1560",6611
"1561",19758
"1562",11890
"1563",5564
"1564",5694
"1565",21558
"1566",623
"1567",8573
"1568",6965
"1569",3033
"1570",9250
"1571",18087
"1572",5527
"1573",4004
"1574",11829
"1575",4415
"1576",6762
"1577",3703
"1578",6685
"1579",5732
"1580",1389
"1581",3516
"1582",2124
"1583",13836
"1584",9380
"1585",8486
"1586",6825
"1587",6988
"1588",8138
"1589",4039
"1590",2114
"1591",3687
"1592",9727
"1593",8383
"1594",16550
"1595",12445
"1596",8801
"1597",4292
"1598",6284
"1599",1986
"1600",12377
"1601",6818
"1602",10739
"1603",5641
"1604",725
"1605",14411
"1606",6850
"1607",19712
"1608",5777
"1609",5674
"1610",3592
"1611",4804
"1612",2301
"1613",1965
"1614",16808
"1615",4556
"1616",13815
"1617",7478
"1618",2642
"1619",1654
"1620",13331
"1621",3002
"1622",3424
"1623",4421
"1624",3827
"1625",6546
"1626",6803
"1627",963
"1628",16706
"1629",10972
"1630",10720
"1631",5090
"1632",7359
"1633",11599
"1634",11927
"1635",5121
"1636",7933
"1637",1598
"1638",2297
"1639",18020
"1640",15226
"1641",8296
"1642",14371
"1643",6003
"1644",6519
"1645",3863
"1646",7582
"1647",17084
"1648",12036
"1649",2721
"1650",6792
"1651",12159
"1652",6873
"1653",4882
"1654",4233
"1655",17740
"1656",4251
"1657",6968
"1658",4373
"1659",3515
"1660",4570
"1661",4785
"1662",6139
"1663",2826
"1664",9737
"1665",14579
"1666",12108
"1667",6241
"1668",7245
"1669",15449
"1670",2534
"1671",9488
"1672",11748
"1673",23176
"1674",2141
"1675",4584
"1676",1805
"1677",8535
"1678",8372
"1679",1586
"1680",4017
"1681",3061
"1682",1250
"1683",2575
"1684",6743
"1685",8300
"1686",6390
"1687",1027
"1688",330
"1689",14599
"1690",32568
"1691",15582
"1692",14474
"1693",4934
"1694",7591
"1695",13892
"1696",1712
"1697",1275
"1698",9748
"1699",10100
"1700",6659
"1701",18310
"1702",11803
"1703",980
"1704",7635
"1705",7429
"1706",3986
"1707",6918
"1708",7843
"1709",17656
"1710",11916
"1711",4858
"1712",4144
"1713",10143
"1714",6456
"1715",17366
"1716",9543
"1717",1217
"1718",1583
"1719",2895
"1720",8311
"1721",8404
"1722",5542
"1723",6738
"1724",10840
"1725",3354
"1726",1201
"1727",1910
"1728",15683
"1729",11452
"1730",7442
"1731",7970
"1732",2937
"1733",7026
"1734",4131
"1735",2881
"1736",2351
"1737",20115
"1738",4231
"1739",24661
"1740",14696
"1741",3023
"1742",6720
"1743",6687
"1744",4229
"1745",1683
"1746",11894
"1747",26142
"1748",6922
"1749",6157
"1750",6059
"1751",14163
"1752",3557
"1753",4466
"1754",3485
"1755",7485
"1756",24426
"1757",4787
"1758",4991
"1759",3140
"1760",3452
"1761",2089
"1762",4991
"1763",5508
"1764",5993
"1765",1926
"1766",1633
"1767",9546
"1768",2218
"1769",4054
"1770",2412
"1771",9084
"1772",5424
"1773",3549
"1774",10347
"1775",8036
"1776",11074
"1777",8292
"1778",3321
"1779",6298
"1780",17500
"1781",10252
"1782",1064
"1783",12395
"1784",23011
"1785",6677
"1786",5505
"1787",2250
"1788",5107
"1789",2953
"1790",20184
"1791",12852
"1792",765
"1793",4819
"1794",6998
"1795",2709
"1796",10707
"1797",11800
"1798",5696
"1799",15176
"1800",8327
"1801",8834
"1802",15138
"1803",10773
"1804",11391
"1805",14521
"1806",6219
"1807",7387
"1808",5133
"1809",7380
"1810",4316
"1811",6280
"1812",8323
"1813",1472
"1814",17086
"1815",12289
"1816",9005
"1817",15793
"1818",7553
"1819",3847
"1820",22338
"1821",3034
"1822",11419
"1823",10082
"1824",14423
"1825",8066
"1826",10040
"1827",15695
"1828",2325
"1829",20849
"1830",12994
"1831",14172
"1832",6725
"1833",8108
"1834",15967
"1835",14273
"1836",5631
"1837",6097
"1838",5114
"1839",12911
"1840",4621
"1841",8466
"1842",3483
"1843",8866
"1844",1688
"1845",9875
"1846",14399
"1847",7801
"1848",4890
"1849",3615
"1850",4267
"1851",17392
"1852",7421
"1853",3746
"1854",13377
"1855",6300
"1856",15274
"1857",1006
