"","x"
"1055",518
"1056",120
"1057",1159
"1058",660
"1059",11109
"1060",253
"1061",786
"1062",3919
"1063",690
"1064",16281
"1065",2403
"1066",600
"1067",1668
"1068",2128
"1069",2024
"1070",498
"1071",3785
"1072",5485
"1073",1295
"1074",1610
"1075",352
"1076",5635
"1077",3237
"1078",508
"1079",2930
"1080",396
"1081",532
"1082",4740
"1083",2801
"1084",5211
"1085",1421
"1086",1365
"1087",3934
"1088",373
"1089",128
"1090",1475
"1091",108
"1092",3359
"1093",2599
"1094",4376
"1095",3150
"1096",2363
"1097",7078
"1098",1009
"1099",137
"1100",1594
"1101",823
"1102",1588
"1103",4436
"1104",7211
"1105",7976
"1106",1226
"1107",307
"1108",364
"1109",8186
"1110",81
"1111",12746
"1112",2407
"1113",1993
"1114",4711
"1115",316
"1116",9336
"1117",2217
"1118",502
"1119",3932
"1120",11167
"1121",468
"1122",557
"1123",6096
"1124",173
"1125",1402
"1126",3857
"1127",3019
"1128",389
"1129",1862
"1130",504
"1131",804
"1132",486
"1133",100
"1134",101
"1135",2237
"1136",3649
"1137",3375
"1138",7188
"1139",6408
"1140",8879
"1141",2032
"1142",7326
"1143",5236
"1144",117
"1145",383
"1146",1826
"1147",5786
"1148",5564
"1149",5094
"1150",1437
"1151",5481
"1152",774
"1153",2958
"1154",557
"1155",453
"1156",8991
"1157",619
"1158",1030
"1159",4820
"1160",4524
"1161",2889
"1162",2324
"1163",2039
"1164",4897
"1165",3
"1166",344
"1167",1240
"1168",4406
"1169",10
"1170",2039
"1171",1728
"1172",1023
"1173",2628
"1174",4884
"1175",2390
"1176",501
"1177",4919
"1178",5747
"1179",2213
"1180",4322
"1181",7930
"1182",2967
"1183",7825
"1184",1112
"1185",1527
"1186",510
"1187",428
"1188",2336
"1189",4314
"1190",3410
"1191",342
"1192",1636
"1193",1761
"1194",3184
"1195",2249
"1196",1577
"1197",773
"1198",7651
"1199",2074
"1200",1294
"1201",3848
"1202",4878
"1203",1237
"1204",546
"1205",12499
"1206",1373
"1207",45
"1208",3148
"1209",1976
"1210",112
"1211",2488
"1212",3333
"1213",2724
"1214",1930
"1215",3155
"1216",1119
"1217",1426
"1218",200
"1219",1580
"1220",2994
"1221",1042
"1222",25438
"1223",5543
"1224",379
"1225",1825
"1226",474
"1227",2068
"1228",2158
"1229",1549
"1230",495
"1231",1649
"1232",6389
"1233",3392
"1234",1021
"1235",317
"1236",1368
"1237",752
"1238",3422
"1239",1468
"1240",1276
"1241",2851
"1242",284
"1243",6773
"1244",1640
"1245",6912
"1246",1015
"1247",3498
"1248",1527
"1249",1277
"1250",1867
"1251",2834
"1252",6
"1253",307
"1254",4407
"1255",1842
"1256",11661
"1257",2767
"1258",944
"1259",552
"1260",3671
"1261",3003
"1262",3398
"1263",1381
"1264",12863
"1265",3457
"1266",3022
"1267",530
"1268",893
"1269",11743
"1270",2865
"1271",1355
"1272",15
"1273",1564
"1274",9847
"1275",759
"1276",4546
"1277",1151
"1278",7593
"1279",2679
"1280",373
"1281",1095
"1282",10848
"1283",678
"1284",82
"1285",1784
"1286",1357
"1287",2547
"1288",1399
"1289",968
"1290",367
"1291",195
"1292",25229
"1293",7538
"1294",54
"1295",4773
"1296",2545
"1297",1137
"1298",2467
"1299",2117
"1300",6833
"1301",1594
"1302",7040
"1303",2136
"1304",1439
"1305",3314
"1306",6601
"1307",295
"1308",705
"1309",434
"1310",10180
"1311",995
"1312",5209
"1313",10804
"1314",9841
"1315",4559
"1316",5837
"1317",568
"1318",292
"1319",2017
"1320",3502
"1321",3353
"1322",2326
"1323",2647
"1324",1488
"1325",163
"1326",324
"1327",87
"1328",4513
"1329",15116
"1330",2392
"1331",4816
"1332",1899
"1333",366
"1334",3926
"1335",2580
"1336",1514
"1337",510
"1338",3352
"1339",8011
"1340",2303
"1341",472
"1342",104
"1343",1148
"1344",5684
"1345",2232
"1346",3486
"1347",2657
"1348",3408
"1349",1524
"1350",6183
"1351",174
"1352",1960
"1353",1418
"1354",3424
"1355",866
"1356",799
"1357",1091
"1358",2753
"1359",984
"1360",3060
"1361",1315
"1362",5836
"1363",3138
"1364",234
"1365",1236
"1366",1921
"1367",610
"1368",1544
"1369",2257
"1370",851
"1371",99
"1372",661
"1373",8358
"1374",3736
"1375",7250
"1376",782
"1377",4098
"1378",71
"1379",2293
"1380",2036
"1381",1606
"1382",856
"1383",1953
"1384",50
"1385",527
"1386",71
"1387",2905
"1388",1406
"1389",2936
"1390",7092
"1391",8466
"1392",16
"1393",510
"1394",4779
"1395",5853
"1396",382
"1397",6811
"1398",3321
"1399",2580
"1400",1068
"1401",2647
"1402",5168
"1403",328
"1404",4947
"1405",552
"1406",4709
"1407",479
"1408",3020
"1409",10334
"1410",5054
"1411",7312
"1412",2756
"1413",3079
"1414",4128
"1415",3860
"1416",2275
"1417",1322
"1418",6885
"1419",699
"1420",2275
"1421",787
"1422",2079
"1423",2350
"1424",1754
"1425",1754
"1426",3628
"1427",1363
"1428",438
"1429",3095
"1430",1350
"1431",579
"1432",3874
"1433",2452
"1434",4543
"1435",5365
"1436",3731
"1437",1841
"1438",919
"1439",4849
"1440",4071
"1441",963
"1442",11
"1443",501
"1444",3305
"1445",180
"1446",3585
"1447",2400
"1448",7549
"1449",589
"1450",7967
"1451",2889
"1452",4790
"1453",342
"1454",312
"1455",1599
"1456",1412
"1457",4079
"1458",1835
"1459",8818
"1460",424
"1461",2073
"1462",4667
"1463",1318
"1464",568
"1465",1322
"1466",2321
"1467",17565
"1468",443
"1469",2306
"1470",1996
"1471",4889
"1472",220
"1473",786
"1474",531
"1475",2722
"1476",855
"1477",374
"1478",6181
"1479",5927
"1480",4071
"1481",3624
"1482",1776
"1483",1184
"1484",2973
"1485",6678
"1486",534
"1487",2258
"1488",3429
"1489",646
"1490",1838
"1491",1844
"1492",7558
"1493",725
"1494",1079
"1495",2216
"1496",6093
"1497",3570
"1498",654
"1499",2331
"1500",1402
"1501",1148
"1502",8574
"1503",3310
"1504",2466
"1505",1309
"1506",4004
"1507",279
"1508",1559
"1509",1440
"1510",1094
"1511",273
"1512",3565
"1513",4734
"1514",3015
"1515",1211
"1516",245
"1517",472
"1518",1658
"1519",10012
"1520",10581
"1521",306
"1522",1958
"1523",1597
"1524",4267
"1525",411
"1526",8
"1527",5467
"1528",8
"1529",447
"1530",1205
"1531",5928
"1532",906
"1533",399
"1534",464
"1535",6899
"1536",7166
"1537",228
"1538",1456
"1539",11821
"1540",3816
"1541",8050
"1542",583
"1543",218
"1544",3399
"1545",903
"1546",2413
"1547",2657
"1548",1857
"1549",1847
"1550",58
"1551",875
"1552",2758
"1553",9102
"1554",741
"1555",31
"1556",1868
"1557",1620
"1558",1055
"1559",2770
"1560",2395
"1561",775
"1562",1924
"1563",4699
"1564",2366
"1565",514
"1566",5658
"1567",177
"1568",1138
"1569",908
"1570",1731
"1571",2803
"1572",664
"1573",2848
"1574",2690
"1575",4107
"1576",9171
"1577",4295
"1578",4768
"1579",4480
"1580",457
"1581",1569
"1582",5788
"1583",10968
"1584",3495
"1585",1014
"1586",1689
"1587",8453
"1588",3042
"1589",1180
"1590",7539
"1591",1543
"1592",5693
"1593",224
"1594",6323
"1595",1340
"1596",5539
"1597",4378
"1598",422
"1599",3130
"1600",403
"1601",569
"1602",632
"1603",3500
"1604",957
"1605",1897
"1606",1487
"1607",1629
"1608",669
"1609",5024
"1610",1165
"1611",1618
"1612",3248
"1613",11387
"1614",2324
"1615",49
"1616",1260
"1617",1497
"1618",314
"1619",1230
"1620",8662
"1621",1383
"1622",1210
"1623",1006
"1624",2624
"1625",3460
"1626",2845
"1627",9703
"1628",4754
"1629",1190
"1630",43
"1631",998
"1632",403
"1633",585
"1634",1935
"1635",3323
"1636",1868
"1637",10023
"1638",1354
"1639",410
"1640",1982
"1641",160
"1642",1867
"1643",134
"1644",3496
"1645",4346
"1646",1372
"1647",897
"1648",151
"1649",8712
"1650",577
"1651",1999
"1652",4619
"1653",834
"1654",580
"1655",5511
"1656",537
"1657",1150
"1658",1022
"1659",2569
"1660",3982
"1661",2677
"1662",10005
"1663",494
"1664",1401
"1665",226
"1666",1433
"1667",361
"1668",313
"1669",3127
"1670",1030
"1671",8123
"1672",1000
"1673",4181
"1674",1089
"1675",628
"1676",1064
"1677",559
"1678",1582
"1679",3356
"1680",90
"1681",222
"1682",3934
"1683",1059
"1684",497
"1685",133
"1686",1819
"1687",417
"1688",3096
"1689",177
"1690",3363
"1691",4985
"1692",180
"1693",205
"1694",72
"1695",3438
"1696",101
"1697",1073
"1698",1765
"1699",3125
"1700",3391
"1701",4656
"1702",5895
"1703",926
"1704",5058
"1705",864
"1706",2460
"1707",2955
"1708",328
